,Title,Link,Author,Rating,Score
116,Middlesex,https://goodreads.com/book/show/2187.Middlesex,Jeffrey Eugenides,4.03,"160,430"
117,"The Hobbit (The Lord of the Rings, #0)",https://goodreads.com/book/show/5907.The_Hobbit,J.R.R. Tolkien,4.29,"159,936"
118,"Eragon (The Inheritance Cycle, #1)",https://goodreads.com/book/show/113436.Eragon,Christopher Paolini,3.94,"158,546"
119,The Adventures of Tom Sawyer,https://goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,Mark Twain,3.92,"156,606"
120,Looking for Alaska,https://goodreads.com/book/show/99561.Looking_for_Alaska,John Green,3.97,"155,948"
121,The Alchemist,https://goodreads.com/book/show/865.The_Alchemist,Paulo Coelho,3.91,"155,467"
122,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,Roald Dahl,4.16,"155,284"
123,The Very Hungry Caterpillar,https://goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,Eric Carle,4.32,"153,526"
124,The Curious Incident of the Dog in the Night-Time,https://goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,3.89,"152,152"
125,The Count of Monte Cristo,https://goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,Alexandre Dumas,4.29,"151,197"
126,"The Last Olympian (Percy Jackson and the Olympians, #5)",https://goodreads.com/book/show/4556058-the-last-olympian,Rick Riordan,4.54,"150,578"
127,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",https://goodreads.com/book/show/1232.The_Shadow_of_the_Wind,Carlos Ruiz Zafón,4.29,"150,084"
128,Tuesdays with Morrie,https://goodreads.com/book/show/6900.Tuesdays_with_Morrie,Mitch Albom,4.16,"147,451"
129,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,C.S. Lewis,4.23,"146,029"
130,The Unbearable Lightness of Being,https://goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,Milan Kundera,4.11,"145,908"
131,On the Road,https://goodreads.com/book/show/70401.On_the_Road,Jack Kerouac,3.61,"145,695"
132,The Name of the Rose,https://goodreads.com/book/show/119073.The_Name_of_the_Rose,Umberto Eco,4.14,"143,372"
133,"The Godfather (The Godfather, #1)",https://goodreads.com/book/show/22034.The_Godfather,Mario Puzo,4.38,"141,057"
134,Where the Red Fern Grows,https://goodreads.com/book/show/10365.Where_the_Red_Fern_Grows,Wilson Rawls,4.11,"139,430"
135,In Cold Blood,https://goodreads.com/book/show/168642.In_Cold_Blood,Truman Capote,4.08,"138,129"
136,"Holes (Holes, #1)",https://goodreads.com/book/show/38709.Holes,Louis Sachar,3.99,"137,202"
137,The Scarlet Letter,https://goodreads.com/book/show/12296.The_Scarlet_Letter,Nathaniel Hawthorne,3.43,"135,620"
138,Perfume: The Story of a Murderer,https://goodreads.com/book/show/343.Perfume,Patrick Süskind,4.03,"135,251"
139,Fight Club,https://goodreads.com/book/show/36236124-fight-club,Chuck Palahniuk,4.19,"133,947"
140,The Five People You Meet in Heaven,https://goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,3.98,"131,850"
141,American Gods,https://goodreads.com/book/show/30165203-american-gods,Neil Gaiman,4.11,"130,074"
142,"The Cat in the Hat (The Cat in the Hat, #1)",https://goodreads.com/book/show/233093.The_Cat_in_the_Hat,Dr. Seuss,4.18,"128,439"
143,The Divine Comedy,https://goodreads.com/book/show/6656.The_Divine_Comedy,Dante Alighieri,4.07,"127,909"
144,Watchmen,https://goodreads.com/book/show/472331.Watchmen,Alan Moore,4.38,"127,793"
145,"Hush, Hush (Hush, Hush, #1)",https://goodreads.com/book/show/6339664-hush-hush,Becca Fitzpatrick,3.93,"127,413"
146,All Quiet on the Western Front,https://goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,Erich Maria Remarque,4.06,"125,118"
147,"The Little House Collection (Little House, #1-9)",https://goodreads.com/book/show/114345.The_Little_House_Collection,Laura Ingalls Wilder,4.35,"124,811"
148,"Lonesome Dove (Lonesome Dove, #1)",https://goodreads.com/book/show/256008.Lonesome_Dove,Larry McMurtry,4.52,"124,678"
149,Peter Pan,https://goodreads.com/book/show/34268.Peter_Pan,J.M. Barrie,4.04,"121,722"
150,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://goodreads.com/book/show/12067.Good_Omens,Terry Pratchett,4.25,"120,144"
151,The Addiction Manifesto,https://goodreads.com/book/show/58572970-the-addiction-manifesto,Jerry Weaver,4.84,"115,064"
152,Love in the Time of Cholera,https://goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,Gabriel García Márquez,3.93,"113,144"
153,"Six of Crows (Six of Crows, #1)",https://goodreads.com/book/show/23437156-six-of-crows,Leigh Bardugo,4.49,"112,730"
154,"Insurgent (Divergent, #2)",https://goodreads.com/book/show/11735983-insurgent,Veronica Roth,3.98,"112,230"
155,A Walk to Remember,https://goodreads.com/book/show/35545737-a-walk-to-remember,Nicholas Sparks,4.19,"110,754"
156,The Thorn Birds,https://goodreads.com/book/show/3412.The_Thorn_Birds,Colleen McCullough,4.24,"110,104"
157,The Compleat Works of Wllm Shkspr,https://goodreads.com/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr,Adam Long,4.45,"108,649"
158,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,Rick Riordan,4.42,"108,491"
159,"Shadow Kiss (Vampire Academy, #3)",https://goodreads.com/book/show/2802316-shadow-kiss,Richelle Mead,4.34,"107,770"
160,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",https://goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.38,"106,875"
161,How the Grinch Stole Christmas!,https://goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_,Dr. Seuss,4.37,"106,812"
162,"The Titan's Curse (Percy Jackson and the Olympians, #3)",https://goodreads.com/book/show/561456.The_Titan_s_Curse,Rick Riordan,4.36,"106,762"
163,"Clockwork Princess (The Infernal Devices, #3)",https://goodreads.com/book/show/18335634-clockwork-princess,Cassandra Clare,4.56,"106,412"
164,Their Eyes Were Watching God,https://goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,Zora Neale Hurston,3.98,"105,207"
165,The Importance of Being Earnest,https://goodreads.com/book/show/92303.The_Importance_of_Being_Earnest,Oscar Wilde,4.18,"105,070"
166,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://goodreads.com/book/show/28186.The_Sea_of_Monsters,Rick Riordan,4.24,"103,292"
167,Atonement,https://goodreads.com/book/show/6867.Atonement,Ian McEwan,3.93,"103,180"
168,"Eat, Pray, Love",https://goodreads.com/book/show/19501.Eat_Pray_Love,Elizabeth Gilbert,3.62,"103,155"
169,"The Wonderful Wizard of Oz (Oz, #1)",https://goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz,L. Frank Baum,4.00,"102,877"
170,The Three Musketeers,https://goodreads.com/book/show/7190.The_Three_Musketeers,Alexandre Dumas,4.09,"102,087"
171,The Lorax,https://goodreads.com/book/show/7784.The_Lorax,Dr. Seuss,4.34,"100,591"
172,Goodnight Moon,https://goodreads.com/book/show/32929.Goodnight_Moon,Margaret Wise Brown,4.30,"99,672"
173,"The Maze Runner (The Maze Runner, #1)",https://goodreads.com/book/show/6186357-the-maze-runner,James Dashner,4.05,"99,084"
174,"Catching Fire (The Hunger Games, #2)",https://goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,4.32,"98,040"
175,A Midsummer Night's Dream,https://goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream,William Shakespeare,3.95,"97,427"
